score,ein,name,city,county,zip,ntee,files_990pf,foundation_cd,assets,income,revenue,signals
143,272554822,ANN & LARS LEWANDER SCHOLARSHIP FOUNDATION INC,Sarasota,Sarasota,34241,B82,Y,04,507124,114556,0,name:scholarship;ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82
133,993031704,JAMES A EDWARDS SCHOLARSHIP TRUST,Bradenton,Manatee,34205,B82,Y,04,1908000,76483,0,name:scholarship;ntee:B82;files-990PF;private-foundation:04;ntee-education:B82
128,431905241,MEGAN CRALLE MEMORIAL SCHOLARSHIP FUND,Sarasota,Sarasota,34231,B82,,15,0,0,0,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82
128,472887970,ANDREW MONROE MEMORIAL SCHOLARSHIP FUND,Sarasota,Sarasota,34235,B82,,15,0,0,0,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82
113,753010007,ROBERT MAMMANO FREZZA MEMORIAL SCHOLARSHIP FUND,Sarasota,Sarasota,34236,B12,Y,04,683886,45441,0,name:scholarship;name:memorial-fund;files-990PF;private-foundation:04;ntee-education:B12
113,273073854,FRANK JOHN VIGGIANO SCHOLARSHIP FOUNDATION INC,Sarasota,Sarasota,34233,B82,,15,14923,0,0,name:scholarship;ntee:B82;name:foundation;ntee-education:B82
113,611490966,MANATEE COUNTY BRANCH AAUW SCHOLARSHIP FOUNDATION,Bradenton,Manatee,34206,B82,,15,0,0,0,name:scholarship;ntee:B82;name:foundation;ntee-education:B82
113,872864693,OM BROWN MEMORIAL SCHOLARSHIP FOUNDATION INC,Parrish,Manatee,34219,B82,,15,0,0,0,name:scholarship;ntee:B82;name:foundation;ntee-education:B82
110,831769874,SUNRISE SCHOLARS FOUNDATION INC,Sarasota,Sarasota,34236,T23,Y,03,7838,440250,0,name:scholarship;ntee-grantmaker:T23;files-990PF;private-foundation:03;name:foundation
110,596687568,ENGLEWOOD BPO ELKS SCHOLARSHIP TRUST,Englewood,Sarasota,34223,,Y,04,1,1,0,name:scholarship;name:service-club;files-990PF;private-foundation:04
103,823580058,JESSICA COSTANZO SCHOLARSHIP FUND INC,Venice,Sarasota,34293,B82,,15,1482,54940,32411,name:scholarship;ntee:B82;ntee-education:B82
103,043666660,ST ANDREW SCOTTISH SOCIETY SCHOLARSHIP FUND INC,Sarasota,Sarasota,34230,B82,,16,0,0,0,name:scholarship;ntee:B82;ntee-education:B82
103,396125159,RHO OF PSI UPSILON SCHOLARSHIP FDN INC,Sarasota,Sarasota,34238,B82,,16,0,0,0,name:scholarship;ntee:B82;ntee-education:B82
103,475602000,CHANDANNI SCHOLARSHIP FUND INC,Sarasota,Sarasota,34239,B82,,15,0,0,0,name:scholarship;ntee:B82;ntee-education:B82
103,650939642,LINDSEY MAIBACH SCHOLARSHIP FUND,Sarasota,Sarasota,34231,B82,,15,0,0,0,name:scholarship;ntee:B82;ntee-education:B82
