name,ein,city,county,type,ntee,files_990pf,assets,income,revenue
CHARLES AND MARGERY BARANCIK FOUNDATION,363442474,Sarasota,Sarasota,Private foundation,T22,Y,577773944,66254381,0
COMMUNITY FOUNDATION OF SARASOTA COUNTY INC,591956886,Sarasota,Sarasota,Community foundation,T310,,518451597,212490133,87039125
GULF COAST COMMUNITY FOUNDATION INC,591052433,Venice,Sarasota,Community foundation,T310,,482820352,170003096,54435281
THE PATTERSON FOUNDATION,656230256,Sarasota,Sarasota,Private foundation,T20Z,Y,303914597,75703026,0
MARGUERITE DELANY HARK FOUNDATION,363617116,Venice,Sarasota,Private foundation,,Y,174044358,124008009,0
GALASHIELS FUND LTD,943059858,Sarasota,Sarasota,Private foundation,,Y,150611966,26450199,0
MARY PARKER FOUNDATION 25167-0,592708325,Bradenton,Manatee,Private foundation,,Y,118435114,30469369,0
AD IMPACT,814562993,Sarasota,Sarasota,Private foundation,T20,Y,108545267,23447800,0
LOUIS AND GLORIA FLANZER PHILANTRHOPIC TR,146285967,Sarasota,Sarasota,Private foundation,T20,Y,93895705,13829027,0
BRIAN AND SHEILA JELLISON FAMILY FOUNDATION,832115946,Sarasota,Sarasota,Private foundation,T20,Y,84144773,8703736,0
WILLIAM G AND MARIE SELBY FOUNDATION INC,842333839,Sarasota,Sarasota,Private foundation,T20,Y,78312524,5382624,0
ANTHONY AND CHRISTIE DE NICOLA FOUNDATION,316647684,Englewood,Sarasota,Private foundation,T21,Y,74738346,21115972,0
MANATEE COMMUNITY FOUNDATION INC,650833500,Bradenton,Manatee,Community foundation,T31,,69118344,60827625,10235365
THE JEWISH FEDERATION OF SARASOTA-MANATEE INC,591227747,Sarasota,Sarasota,Public grantmaker,T70Z,,67765124,17156866,10732008
W DALE BROUGHER FOUNDATION INC,521499358,Sarasota,Sarasota,Private foundation,,Y,67616622,78888887,0
RENWICK FOUNDATION-USA,923457678,Longboat Key,Sarasota,Private foundation,T20,Y,66398868,43510927,0
PENTECOST FOUNDATION,271471062,Bradenton,Manatee,Private foundation,T22,Y,62890141,52642858,0
ELLING O EIDE CHARITABLE FOUNDATION INC,461488932,Sarasota,Sarasota,Private foundation,T23,Y,62757939,13324680,0
THE BILL & ANN TEMPLETON FOUNDATION INC,203073117,Sarasota,Sarasota,Private foundation,T22,Y,53174148,7889423,0
HILDA & PRESTON DAVIS PRIVATE FOUNDATION,237966458,Sarasota,Sarasota,Private foundation,T20Z,Y,48104121,6400817,0
JOAN M WISMER FOUNDATION,233089181,Sarasota,Sarasota,Private foundation,T20,Y,43785739,14758734,0
NEMA FOUNDATION INC,274357830,Sarasota,Sarasota,Public grantmaker,T30,,32581469,43309295,30496474
HENRY E & PAULINE S BECKER CHARITABLE FOUNDATION,206297485,Sarasota,Sarasota,Private foundation,T22,Y,32303090,10814837,0
ROSKAMP FOUNDATION IRRV TR UA 052096,656206042,Sarasota,Sarasota,Private foundation,T23,Y,30961485,72459,0
