name,sponsor,county,amount,deadline,eligibility,apply_via,platform,essay,on_national_dbs,notes
Community Foundation of Sarasota County Scholarship Program,Community Foundation of Sarasota County,Sarasota,varies by fund,Feb 1 (under 24) / Apr 15 (24+),"Sarasota/Manatee/Charlotte/DeSoto students",single common application,CommunityForce,varies,No,"HUB: 130+ named funds (90+ traditional, 40+ adult). $2.1M/yr to 566 students"
Gulf Coast Community Foundation Scholarship Program,Gulf Coast Community Foundation,Sarasota,varies by fund,early March,"South Sarasota County (Osprey to Boca Grande); GPA 2.5+; financial need",single common application,Scholarship America,likely,No,"HUB: 62-66 named funds. $665095/yr to 247 students"
Manatee Community Foundation Degree-Seeking Program,Manatee Community Foundation,Manatee,varies by fund,Mar 1,"Manatee or Sarasota resident; 3.0+ GPA degree track",single common application,AwardSpring,Yes,No,"HUB: 25+ named funds. $265000/yr to 96 students. FAFSA SAR + 2 references"
Manatee Community Foundation Technical/Vocational Program,Manatee Community Foundation,Manatee,varies,Mar 1,"Manatee County resident; vocational training; no GPA floor",single common application,AwardSpring,Yes,No,HUB: vocational track
Rotary Futures Student Scholarship Management System,Sarasota Rotary Foundation,Sarasota,varies,varies,Sarasota County students,in-person coach appointment,Rotary Futures SSMS,likely,No,"HUB: ~500 scholarships listed; staffed with in-person student coaches"
James A Edwards Scholarship Trust,James A Edwards Scholarship Trust,Manatee,~$5000,not published,"USF undergrads; children of fallen soldiers/first responders",downloadable PDF/Word,direct,likely,No,~20 students/yr; $157K across 48 grants 2024-25
Andrew Monroe Memorial Scholarship,Andrew Monroe Memorial Scholarship Fund,Sarasota,$1000 x2,Feb 1,graduating senior soccer players Sarasota County,via CFSC common app + Riverview HS,CommunityForce,likely,No,Also direct Riverview HS soccer/track/JROTC awards
Manatee County AAUW Scholarship,AAUW Manatee County Branch,Manatee,not published,Mar 1,"female Manatee County residents/students",Manatee CF portal,AwardSpring,Yes,No,Includes Bradenton Branch fund (25+) and Sylvia Price Nursing fund
Englewood BPO Elks Scholarship,Englewood BPO Elks Lodge 2378,Sarasota,~$3000 median,not published,Lemon Bay HS seniors,high school guidance office,paper/counselor,likely,No,~$39000/yr across 15 grants; some renewable 4 years
Jessica Costanzo Scholarship,Jessica Costanzo Scholarship Fund,Sarasota,not published,not published,"Venice HS senior attending Webber International",via Venice HS / direct,direct,likely,No,50+ scholarships since 2014
St Andrew Scottish Society Scholarship,St Andrew Scottish Society,Both,not published,not published,"Sarasota/Manatee seniors + Lemon Bay HS; Scottish heritage; 3.5 GPA",county school guidance offices,paper/counselor,Yes,No,$180500 to 151 students across 20 schools since 1990
Lindsey Maibach Scholarship,Education Foundation of Sarasota County,Sarasota,$5000,not published,"Booker/North Port/Riverview/Sarasota/Venice HS; GPA 2.40-2.90",Education Foundation,direct,Yes,No,Renewable; 2 letters of rec + transcript
Lemon Bay Sunrise Rotary Scholarship,Lemon Bay Sunrise Rotary,Sarasota,not published,early March,"Lemon Bay HS or Heritage Christian Academy; 3.0+ GPA",Gulf Coast CF,Scholarship America,likely,No,$1.5M trust assets
Dakin Family Scholarship,Dakin Family Scholarship Fund,Manatee,$1000 x2,Dec 1 postmark,"Manatee seniors in Animal Science project at County Fair",Manatee County Fair,paper/mail,likely,No,Paid directly to school
Ivy League Club Scholarship,Ivy League Club of Sarasota,Sarasota,varies,not published,students already enrolled at an Ivy League school,online short-answer form,direct,short answers,No,$33000 to 13 students in 2023; restricted pool
Kiwanis Club of Bradenton Scholarship,Kiwanis Club of Bradenton Foundation,Manatee,not published,spring,"Manatee County public HS senior; 2.5+ weighted GPA",high school guidance office,paper/counselor,likely,No,$14M foundation assets
Sertoma Community Academic Achievement Scholarship,Sertoma Club of Bradenton,Manatee,~$3500,spring,"Manatee County public HS senior; 4-year college bound",high school guidance office,paper/counselor,likely,No,Contact via SCF
Bradenton Rotary Foundation Scholarship,Bradenton Rotary Foundation,Manatee,small,not published,local students,online form,direct,likely,No,bradentonrotary.org/foundation-application
