priority,score,name,display_name,chapter_resolved,search_query,city,county,ein,assets,revenue,ntee,files_990pf,signals,verified,has_website,program_url,award_amount,deadline,eligibility,apply_via,platform,notes
A,143,ANN & LARS LEWANDER SCHOLARSHIP FOUNDATION INC,ANN & LARS LEWANDER SCHOLARSHIP FOUNDATION INC,,"""ANN & LARS LEWANDER SCHOLARSHIP FOUNDATION INC"" Sarasota FL scholarship application",Sarasota,Sarasota,272554822,507124,0,B82,Y,name:scholarship;ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,
A,133,JAMES A EDWARDS SCHOLARSHIP TRUST,JAMES A EDWARDS SCHOLARSHIP TRUST,,"""JAMES A EDWARDS SCHOLARSHIP TRUST"" Bradenton FL scholarship application",Bradenton,Manatee,993031704,1908000,0,B82,Y,name:scholarship;ntee:B82;files-990PF;private-foundation:04;ntee-education:B82,,,,,,,,,
A,133,CHAPMAN-BOND-CHATMAN SCHOLARSHIP FUND,CHAPMAN-BOND-CHATMAN SCHOLARSHIP FUND,,"""CHAPMAN-BOND-CHATMAN SCHOLARSHIP FUND"" Plant City FL scholarship application",Plant City,Hillsborough,832247881,1,0,B82,Y,name:scholarship;ntee:B82;files-990PF;private-foundation:04;ntee-education:B82,,,,,,,,,
A,128,JOEY RUZECKI MEMORIAL SCHOLARSHIP FUND INC,JOEY RUZECKI MEMORIAL SCHOLARSHIP FUND INC,,"""JOEY RUZECKI MEMORIAL SCHOLARSHIP FUND INC"" St Petersburg FL scholarship application",St Petersburg,Pinellas,271367343,0,0,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,
A,128,MEGAN CRALLE MEMORIAL SCHOLARSHIP FUND,MEGAN CRALLE MEMORIAL SCHOLARSHIP FUND,,"""MEGAN CRALLE MEMORIAL SCHOLARSHIP FUND"" Sarasota FL scholarship application",Sarasota,Sarasota,431905241,0,0,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,
A,128,DAN DICICCO MEMORIAL SCHOLARSHIP FUND,DAN DICICCO MEMORIAL SCHOLARSHIP FUND,,"""DAN DICICCO MEMORIAL SCHOLARSHIP FUND"" St Petersburg FL scholarship application",St Petersburg,Pinellas,464983382,0,0,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,
A,128,ANDREW MONROE MEMORIAL SCHOLARSHIP FUND,ANDREW MONROE MEMORIAL SCHOLARSHIP FUND,,"""ANDREW MONROE MEMORIAL SCHOLARSHIP FUND"" Sarasota FL scholarship application",Sarasota,Sarasota,472887970,0,0,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,
A,128,PETER T ASSIMACK MEMORIAL SCHOLARSHIP FUND,PETER T ASSIMACK MEMORIAL SCHOLARSHIP FUND,,"""PETER T ASSIMACK MEMORIAL SCHOLARSHIP FUND"" Palm Harbor FL scholarship application",Palm Harbor,Pinellas,593398268,0,0,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,
A,113,JASON RITCHIE MEMORIAL HOCKEY SCHOLARSHIP FOUNDATION INC,JASON RITCHIE MEMORIAL HOCKEY SCHOLARSHIP FOUNDATION INC,,"""JASON RITCHIE MEMORIAL HOCKEY SCHOLARSHIP FOUNDATION INC"" Tampa FL scholarship application",Tampa,Hillsborough,264803477,1563041,552635,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
A,113,ROBERT MAMMANO FREZZA MEMORIAL SCHOLARSHIP FUND,ROBERT MAMMANO FREZZA MEMORIAL SCHOLARSHIP FUND,,"""ROBERT MAMMANO FREZZA MEMORIAL SCHOLARSHIP FUND"" Sarasota FL scholarship application",Sarasota,Sarasota,753010007,683886,0,B12,Y,name:scholarship;name:memorial-fund;files-990PF;private-foundation:04;ntee-education:B12,,,,,,,,,
A,113,TAMPA BAY MARITIME SCHOLARSHIP FOUNDATION INC,TAMPA BAY MARITIME SCHOLARSHIP FOUNDATION INC,,"""TAMPA BAY MARITIME SCHOLARSHIP FOUNDATION INC"" Tampa FL scholarship application",Tampa,Hillsborough,473073065,483645,55293,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,
