priority,score,name,display_name,chapter_resolved,search_query,city,county,ein,assets,revenue,ntee,files_990pf,signals,verified,has_website,program_url,award_amount,deadline,eligibility,apply_via,platform,beneficiary_scope,notes
A,163,ROTARY CLUB OF FORT LAUDERDALE NORTH BEACH SCHOLARSHIP FUND INC,ROTARY CLUB OF FORT LAUDERDALE NORTH BEACH SCHOLARSHIP FUND INC,,"""ROTARY CLUB OF FORT LAUDERDALE NORTH BEACH SCHOLARSHIP FUND INC"" Ft Lauderdale FL scholarship application",Ft Lauderdale,Broward,592328033,654497,0,B82,Y,name:scholarship;ntee:B82;name:service-club;files-990PF;private-foundation:04;ntee-education:B82,,,,,,,,,,
A,143,DEENA DAVIDSON FRIEDMAN AND MAX M FRIEDMAN SCHOLARSHIP FOUNDATION,DEENA DAVIDSON FRIEDMAN AND MAX M FRIEDMAN SCHOLARSHIP FOUNDATION,,"""DEENA DAVIDSON FRIEDMAN AND MAX M FRIEDMAN SCHOLARSHIP FOUNDATION"" Boynton Beach FL scholarship application",Boynton Beach,Palm Beach,262156102,531096,0,B82,Y,name:scholarship;ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,143,MARTHA C DAY SCHOLARSHIP FOUNDATION INC,MARTHA C DAY SCHOLARSHIP FOUNDATION INC,,"""MARTHA C DAY SCHOLARSHIP FOUNDATION INC"" Miami FL scholarship application",Miami,Miami-Dade,874118938,75325,0,B82,Y,name:scholarship;ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,,,,,,,,,,
A,133,MAS FAMILY SCHOLARSHIPS INC,MAS FAMILY SCHOLARSHIPS INC,,"""MAS FAMILY SCHOLARSHIPS INC"" Coral Gables FL scholarship application",Coral Gables,Miami-Dade,923598644,11861407,0,B82,Y,name:scholarship;ntee:B82;files-990PF;private-foundation:04;ntee-education:B82,,,,,,,,,,
A,133,RAY OF LIGHT SCHOLARSHIP FUND,RAY OF LIGHT SCHOLARSHIP FUND,,"""RAY OF LIGHT SCHOLARSHIP FUND"" Delray Beach FL scholarship application",Delray Beach,Palm Beach,463252749,7164718,0,B82,Y,name:scholarship;ntee:B82;files-990PF;private-foundation:04;ntee-education:B82,,,,,,,,,,
A,133,HALLANDALE SCHOLARSHIP FUND INC,HALLANDALE SCHOLARSHIP FUND INC,,"""HALLANDALE SCHOLARSHIP FUND INC"" Hallandale FL scholarship application",Hallandale,Broward,237087801,1812507,0,B82,Y,name:scholarship;ntee:B82;files-990PF;private-foundation:04;ntee-education:B82,,,,,,,,,,
A,133,HOLLYWOOD LIONS CLUB SCHOLARSHIP INC,HOLLYWOOD LIONS CLUB SCHOLARSHIP INC,,"""HOLLYWOOD LIONS CLUB SCHOLARSHIP INC"" Hollywood FL scholarship application",Hollywood,Broward,831931298,0,0,B82,,name:scholarship;ntee:B82;name:service-club;ntee-education:B82,,,,,,,,,,
A,128,KEITH KOSTER MEMORIAL SCHOLARSHIP FUND INC,KEITH KOSTER MEMORIAL SCHOLARSHIP FUND INC,,"""KEITH KOSTER MEMORIAL SCHOLARSHIP FUND INC"" Deerfield Beach FL scholarship application",Deerfield Beach,Broward,571237376,353496,12500,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,,
A,128,CHARLES J CHUCK BROWNE MEMORIAL SCHOLARSHIP FUND INC,CHARLES J CHUCK BROWNE MEMORIAL SCHOLARSHIP FUND INC,,"""CHARLES J CHUCK BROWNE MEMORIAL SCHOLARSHIP FUND INC"" Plantation FL scholarship application",Plantation,Broward,651068713,20586,2789,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,,
A,128,THEODORE S GRABOSKI MEMORIAL SCHOLARSHIP FUND INC,THEODORE S GRABOSKI MEMORIAL SCHOLARSHIP FUND INC,,"""THEODORE S GRABOSKI MEMORIAL SCHOLARSHIP FUND INC"" Juno Beach FL scholarship application",Juno Beach,Palm Beach,472140213,0,0,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,,
A,128,LOUIS A GAETA III MEMORIAL SCHOLARSHIP FUND INC,LOUIS A GAETA III MEMORIAL SCHOLARSHIP FUND INC,,"""LOUIS A GAETA III MEMORIAL SCHOLARSHIP FUND INC"" Jupiter FL scholarship application",Jupiter,Palm Beach,650565281,0,0,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,,
A,128,CHARLES LAMAR DONALDSON SR MEMORIAL SCHOLARSHIP FUND,CHARLES LAMAR DONALDSON SR MEMORIAL SCHOLARSHIP FUND,,"""CHARLES LAMAR DONALDSON SR MEMORIAL SCHOLARSHIP FUND"" Miami FL scholarship application",Miami,Miami-Dade,831889596,0,0,B82,,name:scholarship;ntee:B82;name:memorial-fund;ntee-education:B82,,,,,,,,,,
A,118,CULTURAL AND EDUCATIONAL SCHOLARSHIP FOUNDATION OF CHINESE,CULTURAL AND EDUCATIONAL SCHOLARSHIP FOUNDATION OF CHINESE,,"""CULTURAL AND EDUCATIONAL SCHOLARSHIP FOUNDATION OF CHINESE"" Pinecrest FL scholarship application",Pinecrest,Miami-Dade,650938020,0,0,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82;name:education,,,,,,,,,,
A,113,LITTLE CLUB SCHOLARSHIP FOUNDATION INC,LITTLE CLUB SCHOLARSHIP FOUNDATION INC,,"""LITTLE CLUB SCHOLARSHIP FOUNDATION INC"" Delray Beach FL scholarship application",Delray Beach,Palm Beach,933199724,908114,894264,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,113,MISS AMERICAS SCHOLARSHIP FOUNDATION INC,MISS AMERICAS SCHOLARSHIP FOUNDATION INC,,"""MISS AMERICAS SCHOLARSHIP FOUNDATION INC"" Wellington FL scholarship application",Wellington,Palm Beach,874613167,807918,1196513,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,113,EDA AND CLIFF VINER COMMUNITY SCHOLARS FOUNDATION INC,EDA AND CLIFF VINER COMMUNITY SCHOLARS FOUNDATION INC,,"""EDA AND CLIFF VINER COMMUNITY SCHOLARS FOUNDATION INC"" Boca Raton FL scholarship application",Boca Raton,Palm Beach,474011061,333627,512401,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
A,113,NSA FLORIDA CHAPTER SCHOLARSHIP FOUNDATION INC,NSA FLORIDA CHAPTER SCHOLARSHIP FOUNDATION INC,,"""NSA FLORIDA CHAPTER SCHOLARSHIP FOUNDATION INC"" Miramar FL scholarship application",Miramar,Broward,455378666,13696,144663,B82,,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,,,,,,,,,,
