name,sponsor,hub,counties,amount_min,amount_max,deadline,gpa_min,eligibility_raw,beneficiary_scope,platform,source_url
Coral Gables Community Foundation Four-Year Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Coral Gables Culinary Arts Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High; food service,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Dr. Thomas E. Deal Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High; healthcare/medicine,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Garcia Perseverance Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Garcia Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Any public or private high school in Miami-Dade,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Grant and Bridget Daugherty Nursing Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High; nursing,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Robert & Marian Fewell Memorial Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
Coral Gables Bar Association Scholarship in Memory of Ervin A. Gonzalez,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High; law,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
1980 Cavaliers Boys Soccer State Championship Scholarship in Memory of Team Captain Bruce Hayes,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High; soccer,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
High-Achieving 'HALI' Four-Year Scholarship,Coral Gables Community Foundation,CGCF,Miami-Dade,1000,20000,,,Coral Gables Senior High and beyond,open,Foundant/GrantInterface,https://gablesfoundation.org/scholarships/
