name,sponsor,counties,amount_min,amount_max,deadline,beneficiary_scope,listed_on_n_sources,breadth,duplicate_listings,source_urls
1980 Cavaliers Boys Soccer State Championship Scholarship in Memory of Team Captain Bruce Hayes,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Adele Marie Bradley Scholarship,Adele Marie Bradley Fund,Palm Beach,3000,3000,2026-05-30,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Alan R. Epstein 'Reach For The Stars' Scholarship,Epstein family,Miami-Dade,0,0,2026-04-05,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
Caden Ingram Foundation Scholarship,Caden Ingram Foundation,Palm Beach,0,0,2026-06-01,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Charles O'Meilia Scholarship,Charles O'Meilia Fund,Palm Beach,1000,1000,2026-05-31,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Chifles 'Beyond the Bag' Employee Scholarship,Plantain Products Company (Chifles),Miami-Dade,0,25000,2026-01-02,employees_only,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Coco Plum Woman's Club Scholarship in Memory of Max Gruver,Coco Plum Woman's Club,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
College Assistance Program (CAP) Scholarship,The Miami Foundation / CAP Inc.,Miami-Dade,0,0,2026-05-24,open,1,hyperlocal,1,https://miamifoundation.org/scholarships/
Community Foundation for Palm Beach and Martin Counties Scholarships,Community Foundation for Palm Beach and Martin Counties,Palm Beach,0,0,2026-03-04,open,1,hyperlocal,1,https://yourcommunityfoundation.org/scholarship-seekers/
Coral Gables Bar Association Scholarship in Memory of Ervin A. Gonzalez,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Coral Gables Community Foundation Four-Year Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Coral Gables Culinary Arts Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Dave Davis Memorial Scholarship,Dave Davis Memorial Fund,Palm Beach,0,0,2026-08-14,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Dave Ragan Jr. Memorial Golf Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Dr. Thomas E. Deal Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Dual2Degree Scholarship,Palm Beach State College,Palm Beach,0,0,,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
Erickson Zoellers Engineering Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Ev Clay / PRSA Miami Chapter Endowment Scholarship,PRSA Miami Chapter,Miami-Dade,0,0,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
Finish4Free Scholarship,Palm Beach State College,Palm Beach,0,0,,open,1,hyperlocal,1,https://sites.google.com/palmbeachschools.org/jhs-scholarship-bulletin/home
First-Generation Scholarship,Coral Gables Community Foundation,Miami-Dade,1000,20000,,open,1,hyperlocal,1,https://gablesfoundation.org/scholarships/
