ein,display_name,priority,score,city,county,signals,website,filing_year,filing_xml
592328033,ROTARY CLUB OF FORT LAUDERDALE NORTH BEACH SCHOLARSHIP FUND INC,A,163,Ft Lauderdale,Broward,name:scholarship;ntee:B82;name:service-club;files-990PF;private-foundation:04;ntee-education:B82,https://www.fortlauderdalenorthrotary.com,2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202333149349100828_public.xml
874118938,MARTHA C DAY SCHOLARSHIP FOUNDATION INC,A,143,Miami,Miami-Dade,name:scholarship;ntee:B82;files-990PF;private-foundation:04;name:foundation;ntee-education:B82,https://www.mdsfi.com,2025,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202630859349100713_public.xml
923598644,MAS FAMILY SCHOLARSHIPS INC,A,133,Coral Gables,Miami-Dade,name:scholarship;ntee:B82;files-990PF;private-foundation:04;ntee-education:B82,https://masfamilyscholarships.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202523259349100712_public.xml
237087801,HALLANDALE SCHOLARSHIP FUND INC,A,133,Hallandale,Broward,name:scholarship;ntee:B82;files-990PF;private-foundation:04;ntee-education:B82,https://hallandalescholarshipfund.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202431799349100603_public.xml
474011061,EDA AND CLIFF VINER COMMUNITY SCHOLARS FOUNDATION INC,A,113,Boca Raton,Palm Beach,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,https://vinerscholars.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202412829349301676_public.xml
473434658,FIVE STAR SCHOLARSHIP FOUNDATION,A,113,Lake Worth,Palm Beach,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,https://www.fivestar,2022,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202342839349200609_public.xml
651101565,COMMON KNOWLEDGE SCHOLARSHIP FOUNDATION INC,A,113,Davie,Broward,name:scholarship;ntee:B82;name:foundation;ntee-education:B82,https://www.cksf.org,2011,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/201203199349304700_public.xml
824965743,CHRIS HIXON ATHLETIC SCHOLARSHIP FUND,A,103,Hollywood,Broward,name:scholarship;ntee:B82;ntee-education:B82,https://chrishixonathleticscholarship.com,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202421809349200227_public.xml
872586675,FOUNTAIN ENDOWED LEGACY SCHOLARSHIP FUND,A,103,Miramar,Broward,name:scholarship;ntee:B82;ntee-education:B82,https://www.felsf.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202511219349200901_public.xml
352550107,I THINK COMMUNITY FOUNDATION INC,A,103,Delray Beach,Palm Beach,ntee:B82;name:community-foundation;name:foundation;ntee-education:B82,https://ithinkfi.org/foundation,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202403199349203300_public.xml
650745873,THE LOUIE BING ATHLETIC SCHOLARSHIP FUND INC,A,103,Miami,Miami-Dade,name:scholarship;ntee:B82;ntee-education:B82,https://www.bingscholarshipfund.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202430549349300118_public.xml
412198259,SCHOLARS TODAY LEADERS OF TOMORROW INC,A,103,North Miami,Miami-Dade,name:scholarship;ntee:B82;ntee-education:B82,https://www.stlt.org,2023,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202412969349300606_public.xml
710910422,MIRAMAR-PEMBROKE PINES REGIONAL CHAMBER OF COMMERCE SCHOLARSHIP FD,A,103,Pembroke Pines,Broward,name:scholarship;ntee:B82;ntee-education:B82,https://www.southbrowardfoundation.org,2016,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/201840389349200314_public.xml
475310517,ANQUAN AND DIONNE BOLDIN SCHOLARSHIP FUND INC,A,100,Boca Raton,Palm Beach,name:scholarship;ntee-grantmaker:T20;files-990PF;private-foundation:04,https://www.q81.org,2024,https://gt990datalake-rawdata.s3.amazonaws.com/EfileData/XmlFiles/202533219349103713_public.xml
