status,org,url,snapshots,latest,action,chars
thin,Hallandale Scholarship Fund Inc,https://hallandalescholarshipfund.org,8,20221007,recovered -> hallandale-scholarship-fund-inc--20221007.txt,2456
thin,Optimal Health Medicine Foundation Inc,https://optimalhealthmedicinefoundation.org,0,,not archived,0
thin,African Students Education Fund Inc,https://www.asefrwanda.org,0,,not archived,0
thin,Dias Fellowship,https://thediasfellows.org,0,,not archived,0
thin,The Coral Gables Community Foundation,https://www.gablesfoundation.org,0,,not archived,0
thin,Miami Bayside Foundation Inc,https://www.miamibaysidefoundation.org,0,,not archived,0
thin,Friends Of The Israel Heart Society Inc,https://friendsihs.org,8,20240222,recovered -> friends-of-the-israel-heart-society-inc--20240222.txt,4335
thin,Rotary Club Of Coral Gables,https://www.coralgablesrotary.org,0,,not archived,0
thin,Kiwanis Club Of Of Daytona Beach,https://daytonabeachkiwanis.org,8,20240803,snapshot empty,0
thin,Rotary Club Of Boca Raton West,https://www.rotarybocaratonwest.org,8,20240412,snapshot empty,0
thin,Rotary Club Of South Miami,https://www.southmiamirotary.org,0,,not archived,0
thin,Geo Global Foundation,https://www.jaimedavidovichfoundation.org,0,,not archived,0
thin,Donald A Burns Foundation Inc,https://www.dabfoundation.org,0,,not archived,0
thin,Whitehall Foundation Inc,https://www.whitehall.org,0,,not archived,0
thin,Joseph R Narot Endowment Fund Inc,https://www.templeisrael.net,0,,not archived,0
thin,Gratitude House Inc,https://www.gratitudehouse.org,0,,not archived,0
thin,Miami Edison Senior High,https://miamiedisonshs.net/student-support/,0,,not archived,0
thin,SouthTech Academy scholarship bulletin #7,https://www.southtechschools.org/wp-content/uploads/2023/12/Scholarship-Bulletin-7.pdf,0,,not archived,0
thin,SouthTech Academy scholarship bulletin #4,https://www.southtechschools.org/wp-content/uploads/2023/10/Scholarship-Bulletin-4.pdf,2,20240223,recovered -> southtech-academy-scholarship-bulletin-4--20240223.txt,22784
thin,SouthTech Academy scholarship bulletin #1,https://www.southtechschools.org/wp-content/uploads/2024/09/Scholarship-Bulletin-1.pdf,2,20241108,snapshot empty,0
thin,SouthTech Academy counseling department,https://www.southtechschools.org/counseling-department/,0,,not archived,0
thin,The Miami Foundation scholarships,https://miamifoundation.org/scholarships/,0,,not archived,0
thin,Education Foundation of Sarasota County,https://edfoundationsrq.org/scholarships/,0,,not archived,0
thin,Manatee Education Foundation,https://mefinfo.org/the-scholarship-source/,0,,not archived,0
thin,Women's Resource Center,https://www.mywrc.org/fundingopportunities/,0,,not archived,0
thin,Manatee Community Foundation,https://www.manateecf.org/scholarships,0,,not archived,0
error,Martha C Day Scholarship Foundation Inc,https://www.mdsfi.com,0,,not archived,0
error,Five Star Scholarship Foundation,https://www.fivestar,0,,not archived,0
error,Fountain Endowed Legacy Scholarship Fund,https://www.felsf.org,4,20240620,recovered -> fountain-endowed-legacy-scholarship-fund--20240620.txt,13267
error,Anquan And Dionne Boldin Scholarship Fund,https://www.q81.org,8,20251010,snapshot empty,0
error,Rico S Scholarship Foundation,https://ricosscholarshipfoundation.org,8,20220313,recovered -> rico-s-scholarship-foundation--20220313.txt,1683
error,John S And James L Knight Foundation Inc,https://www.kf.org,8,20151229,snapshot empty,0
error,Friezo Family Foundation,https://www.friezofamilyfoundation.org,0,,not archived,0
error,Echo Foundation Inc,https://www.foundationcenter.org,8,20190427,recovered -> echo-foundation-inc--20190427.txt,4077
error,Cuban American Cpa Association Foundation,https://www.cacpa.org,8,20171014,snapshot empty,0
error,The Mckelvey Entrepreneurial Foundation,https://www.mckelveyfoundation.org,0,,not archived,0
error,Key Biscayne Community Foundation Inc,https://www.keybiscaynefoundation.org,8,20120619,recovered -> key-biscayne-community-foundation-inc--20120619.txt,3516
error,North Miami Educational Foundation Inc,https://www.northmiamifl.gov/residents/NM,0,,not archived,0
error,Eta Nu Education Foundation Inc,https://omegaa4education.org,0,,not archived,0
error,Abc Cares Foundation Inc,https://www.abccaresfoundation.com,0,,not archived,0
error,Kid Rock Foundation,https://www.kidrock-foundation.com,0,,not archived,0
error,Bryant Peney Schloarship Foundation Inc,https://bryantpeney.com,0,,not archived,0
error,Jorge Nation Foundation Inc,https://jorgenation.org,8,20230208,recovered -> jorge-nation-foundation-inc--20230208.txt,1931
error,Kennys Dream Foundation Inc,https://www.kennysdreamfoundation.org,0,,not archived,0
error,Dorsainvil Foundation,https://www.dorsainvilfoundation.org,0,,not archived,0
error,Hem Foundation Inc,https://www.hemfoundation.com,0,,not archived,0
error,Piasecki Foundation Inc,https://www.thepiaseckifoundation.org,0,,not archived,0
error,Cesar Presbott Foundation Inc,https://cesarpresbottfoundation.com,3,20240104,recovered -> cesar-presbott-foundation-inc--20240104.txt,684
error,Help Bainet Foundation,https://www.helpbainet.org,8,20170523,snapshot empty,0
error,Perry J Cohen Foundation,https://www.pjcf.org,8,20251010,recovered -> perry-j-cohen-foundation--20251010.txt,3518
error,Rotary Club Miami Airport Inc,https://www.rotarymiamiairport.org,0,,not archived,0
error,Friends Of 440 Scholarship Fund Inc,https://440scholarship.org,0,,not archived,0
error,Brazilian Student Association Inc,https://home.gobrasa.org,0,,not archived,0
error,Scholar Career Coaching Inc,https://www.scholarcc.org,8,20251114,recovered -> scholar-career-coaching-inc--20251114.txt,5030
error,American Higher Education Alliance Inc,https://www.ahealliance.org,8,20240724,snapshot empty,0
