status,org,url,snapshots,latest,action,chars
robots,Faithfirst Foundation,https://www.faithfirstfoundation.org,3,20180704,AVAILABLE - not fetched (robots),0
robots,Andrew Red Harris Foundation Inc,https://andrewredharrisfoundation.org,0,,not archived,0
robots,It Women Foundation Inc,https://www.itwomen.org,8,20250315,AVAILABLE - not fetched (robots),0
robots,Grove Bay Foundation Inc,https://grovebaygroup.com/grove-bay-foundation,8,20230923,AVAILABLE - not fetched (robots),0
robots,Hbs Club Of South Florida Foundation Inc,https://www.hbssouthflorida.org,8,20150711,AVAILABLE - not fetched (robots),0
robots,Junior League Of Miami Foundation Inc,https://www.jlmiami.org,8,20250209,AVAILABLE - not fetched (robots),0
robots,College For Kids Inc,https://www.takestockpalmbeach.org,0,,not archived,0
robots,Matanyas Hope,https://matanyashope.org,8,20250804,AVAILABLE - not fetched (robots),0
robots,Alliance Of Women Executives Inc,https://www.aweinc.org,0,,not archived,0
robots,Microscholarships Inc,https://www.microscholarships.org,0,,not archived,0
robots,Sunrise Community Foundation Inc,https://www.sunrisegroup.org,0,,not archived,0
robots,Pop Warner Little Scholars Inc,https://www.parklandrangers.com,0,,not archived,0
robots,Pop Warner Little Scholar Inc,https://www.westonwarriorssports.com,0,,not archived,0
robots,Junior League Of The Palm Beaches Inc,https://jlpb.org,0,,not archived,0
robots,Junior League Of Boca Raton Inc,https://www.jlbr.org,0,,not archived,0
robots,Boca Raton Rotary Fund Inc,https://rotaryclubbocaraton.com,0,,not archived,0
robots,Weston Fl Rotary Club,https://www.westonrotary.org,8,20050407,AVAILABLE - not fetched (robots),0
robots,Rotary Club Of Miami,https://miamirotary.org,0,,not archived,0
robots,Kiwanis Club Of Jupiter-Tequesta,https://www.kiwanisjupiter.org,0,,not archived,0
robots,Cats Baseball Booster Inc,https://leaguelineup.com/catsbaseball,0,,not archived,0
robots,The Frederick A Deluca Foundation Inc,https://www.delucafdn.org,0,,not archived,0
robots,Bravo Family Charitable Foundation,https://www.bravofamilyfoundation.org,0,,not archived,0
robots,Charles Lafitte Foundation,https://www.charleslafitte.org,0,,not archived,0
robots,Queally Foundation Inc,https://thequeallyfoundation.com,0,,not archived,0
robots,Karen Toffler Charitable Trust,https://tofflertrust.org,0,,not archived,0
robots,Castro Family Foundation Inc,https://www.mv4k.org,0,,not archived,0
robots,Lois Pope Life Foundation Inc,https://www.life-edu.org,0,,not archived,0
robots,Gordon Family Foundation Inc,https://www.gordonfamilyfoundation.org,0,,not archived,0
robots,S&B World Foundation Inc,https://sbworldfoundation.com,8,20210924,AVAILABLE - not fetched (robots),0
robots,Mcnamara Family Foundation Inc,https://www.sunbiz.org,0,,not archived,0
robots,The Joseph And Winifred Amaturo Education,https://www.guidestar.org,0,,not archived,0
