verdict,confidence,name,sponsor,amount_min,amount_max,num_awards,deadline,opens,gpa_min,gpa_scale,gender,military_affiliation,employer_affiliation,income_max,renewal_years,recommendation_letters,beneficiary_scope,geo_scope,estimated_effort_minutes,need_based,merit_based,first_generation,disability,residency_required,renewable,essay_required,transcript_required,fafsa_required,counties,cities,high_schools,majors,activities,clubs_organizations,college_plan,citizenship,heritage,class_year,enrollment_status,destination_institutions,eligibility_raw,name_before_enrichment,source_url,source_org,source_county,source_file
award,0.95,HBCU Scholarship,Darrelle Revis Foundation,,,,"May 24, 2026",,3.0,4.0,,,,,,1,open,national,90,,True,,,,,True,,True,[],[],[],[],[],[],"[""4 year HBCU""]","[""U.S. Citizen""]",[],"[""Senior in High School""]",[],[],"HBCU Scholarship Criteria &#8211; 3.0 or Higher G.P.A. &#8211; Senior in High School &#8211; Accepted to a 4 year HBCU &#8211; U.S. Citizen &#8211; Proof of Completed FAFSA &#8211; 350 Word Essay &#8211; Letter of Recommendation &#8211; Completed Application (available on website) Deadline to submit application: May 24, 2026 Darrelle Revis Foundation 2026-2027 scholarship awards high school seniors who are attending an HBCU (Historically Black College or University). Please fill out the application below to apply. Please be sure to submit all required documents. An application without all documents will be rejected. Ziskovum © 2026 Darrelle Revis Foundation All Rights Reserved Privacy Policy CONTACT US info@darrellerevisfoundation.org 954-727-8108 954-727-8426 Headquarters Location: Darrelle Revis Foundation 950 S. Pine Island Road, A-150 Plantation, Florida 33324 Pittsburgh Office Location: Darrelle Revis Foundation 322 North Shore Drive, Suite 200 Pittsburgh, PA 15212",HBCU Scholarship,https://darrellerevisfoundation.org/scholarships/,Darrelle Revis Foundation Inc - Scholarships,Broward,broward--darrelle-revis-foundation-inc-scholarships.txt
award,0.85,Miramar-Pembroke Pines Regional Chamber of Commerce Scholarship,Miramar-Pembroke Pines Regional Chamber of Commerce,500,3000,,,,,,,,,,,,nomination_only,school,,,True,,,,,,,,[],[],[],[],"[""community contributions""]",[],[],[],[],[],[],[],"The Scholarship Committee raises funds to honor and award scholarships to students who exhibit outstanding contributions to their community and school, and who demonstrate academic excellence. Award amounts range from $500 to $3,000. Beginning with the 2025-2026 school year, funds will be allocated to each school and each school will select their recipients based on criteria provided by the Foundation board. Copyright Miramar Pembroke Pines Regional Chamber of Commerce. All Rights Reserved. &#65279; 3150 SW 145 Avenue, Suite 315 | Miramar, FL 33027 Phone: (954) 432-9808 | [email&#160;protected] | sitemap",Scholarship,https://www.southbrowardfoundation.org/scholarships.html,Miramar-Pembroke Pines Regional Chamber Of Commerce Scholarship Fd - Scholarships,Broward,broward--miramar-pembroke-pines-regional-chamber-of-commerce-scholars.txt
award,0.92,George Snow Scholarship Fund,George Snow Scholarship Fund Inc,,,,,,,,,,,,,,open,county,,True,,,,,,,,,"[""Broward"", ""Palm Beach""]",[],[],[],[],[],[],[],[],[],[],[],"George Snow Scholarship Fund, the nonproﬁt that has honored their father’s spirit since 1982 by providing need-based college grants to students in Broward and Palm Beach counties. “He was very driven, ” Jeﬀ says. “He had the reputation in business as being a tough guy. ” Around the house, too. “Jeﬀ and I had crew cuts back in the 1970s— when that wasn’t cool, ” jokes Tim, whose neat beard and baldpate recalls the former Miami Dolphin, Bob Kuechenberg. George Snow was ambitious, so much so that he didn’t mind selling his own house, if it was the one that a client wanted. “It happened quite a few times, ” remembers Tim. “He would tell my mom, ‘We’re not moving again, ’ but then he’d have somebody over to dinner and sell them the dang house right then and there. ” Says Jeﬀ: “ Around the dinner table, he’d ask them, ‘What kind of house are you looking for?’ And the guy would say, ‘Well, one like this, ’ and we’d just get up and start packing. ” Snow would eventually build more than 2,000 homes in the area, as well as nonresidential projects like St. Gregory’s Episcopal Church. By 1970, his company was grossing a reported $6 million a year. /T_he family grew right along with the business. In addition to Tim and Jeﬀ, there were two daughters, Jennifer and Lisa. Instilling a strong work ethic in his children was important to Snow. So was making sure other people’s children had the same opportunities as his own. His sons like to tell of the time, in the early 1970s, when black students being bused to high school in Boca Raton from Delray Beach were denied the opportunity to participate in extracurricular activities because they had no way of getting home if they stayed after school. Snow lobbied the school board for a special bus service for the students. “When they said no, ” recalls Jeﬀ, “he helped buy the bus, and [he occasionally] drove it himself. ” Nothing, it seemed, could slow down George Snow—until one night in 1973. “I almost died hemorrhaging from an ulcer, ” is how he explained it to /T_he Boca Raton News. Brothers Tim (left) and Jeff Snow scan the drﬁt charts that they used to try and locate the remains of their father’s helicopter. when U want to know /T_h",George Snow Scholarship Fund,https://scholarship.org/wp-content/uploads/2023/11/BocaMagDec2012.pdf,George Snow Scholarship Fund Inc - Unsolved Mystery: The George Snow Story,Palm Beach,palm-beach--george-snow-scholarship-fund-inc-unsolved-mystery-the-george.txt
award,0.95,Lary B. McCants Memorial Scholarship,iTHINK Community Foundation,2500,2500,,,,,,,,,,,,,,,,,,,,,,,,[],[],[],[],[],[],[],[],[],[],[],[],"Lary B. McCants Memorial Scholarship is: Colin G.- Florida Former President/CEO and Chairman of the Board of iTHINK Financial Credit Union, Lary B. McCants passed away. Lary was employed by iTHINK Financial from 1988 to 2013, served as Executive VP of Operations for 5 years and then as President/CEO for 20 years. Under his leadership, the credit union’s assets grew from $261M to $834M, and branches expanded from 4 to 15. He pioneered mobile banking and electronic services. Before iTHINK, Lary spent 21 years at IBM, joining the IBM Boca Raton Employees Federal Credit Union in 1969. He actively contributed to credit union associations. iTHINK Financial’s current President/CEO, Michael Miller, praised Lary’s leadership as inspiring and caring, calling him a true legend. Lary is survived by his wife, Pat, and three children, Chris, Kevin, and Missy, along with grandchildren and a great-grandson. To honor his legacy, the iTHINK Community Foundation will offer a $2,500 scholarship annually from 2024 onwards. Donations can be made at ithinkfi.org/foundation under “",Lary B. McCants Memorial Scholarship,https://ithinkfi.org/community/foundation/lary-b.-mccants-memorial-scholarship-program,I Think Community Foundation Inc - linked doc,Palm Beach,palm-beach--i-think-community-foundation-inc-linked-doc.txt
award,0.92,Donation Go To Scholarship,iTHINK Community Foundation,2500,2500,,,,,,,,,,,,members_only,,45,,,,,,True,True,,,[],[],[],[],[],[],[],[],[],"[""graduating high school seniors"", ""currently enrolled college or trade school students""]","[""high school senior"", ""college student"", ""trade school student""]",[],"Donation Go To Scholarship Applications Take Your Education One Step Further The iTHINK Community Foundation, founded by iTHINK Financial, gives credit union members the opportunity to apply for a $2,500 scholarship every year. Graduating high school seniors or currently enrolled college or trade school students can apply by writing an essay or creating a video that describes their career goals. The Winners of the 2026 i",Donation Go To Scholarship,https://ithinkfi.org/community/foundation/scholarship-program,I Think Community Foundation Inc - Scholarship Program,Palm Beach,palm-beach--i-think-community-foundation-inc-scholarship-program.txt
award,0.95,Live Your Dream Awards,Soroptimist International Of The Americas Inc,,,,,August 1,,,female,,,,,,open,,150,,,,,,,True,,,[],[],[],[],[],[],[],[],[],[],[],[],"The Live Your Dream Awards are all about helping women who have faced obstacles on the path to living their dreams. Since 1972, the award has provided tens of thousands of women with cash grants to help them achieve their educational and career goals. In 750 words or less, tell us how you think this could help you live your dream. Mark your calendar: The Application Portal is open August 1 - November 15 each year. LIVE YOUR DREAM AWARDS Click here to learn more... Soroptimist International: Extraordinary Stories Click here for Soroptimist International Extraordinary Stories https://www.soroptimist.org/extraordinary-stories/index.html Top Home 2026 Nomination Form - 2026 2018 Nominees 2017 Nominees 2016 Nominees 2015 Nominees 2014 Nominees 2013 Nominees 2012 Nominees 2011 Nominees 2009 Nominees 2008 Nominees 2007",Live Your Dream Awards,https://www.soroptimist4women.org/p/9/live-your-dream-scholarship-program,Soroptimist International Of The Americas Inc - Live Your Dream Scholarship Program,Palm Beach,palm-beach--soroptimist-international-of-the-americas-inc-live-your-drea.txt
award,0.95,Non-Profit Community Service Awards,Soroptimist of Boca Raton-Deerfield Beach,,,,March 31st,,,,,,,,,,open,city,120,True,,,,,,,,,[],"[""Boca Raton"", ""Deerfield Beach""]",[],[],[],[],[],[],[],[],[],[],"Non-Profit Community Service Awards. Applications must be received by March 31st of each year Soroptimist of Boca's mission includes providing grants to local non-profit organizations in need of financial support for specific projects. Projects directly benefitting women and girls are of particular interest to Soroptimist of Boca. Applications, or inquiries, may be mailed to Soroptimist of Boca Raton-Deerfield Beach, PO Box 657, Boca Raton FL 33429 or emailed to soroptimist4women@gmail.com , or Chairperson, Cynthia Cummings at 561-330-9166 or cicdelray@yahoo.com. Eligibility Rules: The following documents MUST accompany any application to be considered eligible: 1) Verification of non-profit status 2) Current list of Board of Directors and their affiliations 3) Most recent financial statement 4) Project budget 5) Supporting information about project 6) Documentation of need for the project 7) W-9 completed. (Download form from IRS.GOV)",Non-Profit Community Service Awards,https://www.soroptimist4women.org/p/43/non-profit-service-awards,Soroptimist International Of The Americas Inc - Non-Profit Service Awards,Palm Beach,palm-beach--soroptimist-international-of-the-americas-inc-non-profit-ser.txt
award,0.95,One-Time Educational Scholarships,Wellington Community Foundation Inc,1500,1500,,"April 24, 2026","January 01, 2026",,,,,,,,2,open,city,120,,True,,,True,,True,True,,[],"[""Wellington, Florida""]",[],[],"[""Public/Community Service"", ""Leadership"", ""Extra Curricular/Work Involvement""]",[],[],[],[],"[""senior""]","[""high school student""]",[],"One-Time Educational Scholarships in the amount of $1,500 Criteria • Applicant is currently a senior in high school • Applicant lives in Wellington, Florida OR the applicant attends school in Wellington, Florida Requirements 1. Two letters of recommendations, preferably from recent core-subject teachers. 2. High School transcript (with verification of community services hours, if applicable). 3. transcript. 4. Signed Application, completed in its entirety. 5. Responses to short essay questions. Ranking Criteria (Total Possible Points 100) • 25% Academic Achievement • 25% Public/Community Service • 20% Leadership • 10% Extra Curricular/Work Involvement • 10% Overcoming Adversity • 10% Overall Application *PLEASE NOTE: SCHOLARSHIP RECIPIENT MUST ATTEND AWARD PRESENTATION IN MAY 2026, IN WELLINGTON. APPLICATION SUBMIISSION DATES Application submission is open from January 01, 2026 - April 24, 2026* deadline DEADLINE *Application must be mailed and post-marked and received by April 24, 2026. Copyright @Wellington Community Foundation 2025 DESIGNED AND MANAGED BY WELLINGTON.MEDIA",One-Time Educational Scholarships,https://wellingtoncommunityfoundation.org/aka-scholarship,Wellington Community Foundation Inc - AKA Scholarship,Palm Beach,palm-beach--wellington-community-foundation-inc-aka-scholarship.txt
award,0.95,One-Time Educational Scholarships,Wellington Community Foundation Inc,1500,1500,,"April 24, 2026","January 01, 2026",,,,,,,,2,open,city,120,,True,,,True,,True,True,,[],"[""Wellington, Florida""]",[],[],[],[],[],[],[],"[""senior in high school""]",[],[],"One-Time Educational Scholarships in the amount of $1,500 Criteria • Applicant is currently a senior in high school • Applicant lives in Wellington, Florida OR the applicant attends school in Wellington, Florida Requirements 1. Two letters of recommendations, preferably from recent core-subject teachers. 2. High School transcript (with verification of community services hours, if applicable). 3. transcript. 4. Signed Application, completed in its entirety. 5. Responses to short essay questions. Ranking Criteria (Total Possible Points 100) • 25% Academic Achievement • 25% Public/Community Service • 20% Leadership • 10% Extra Curricular/Work Involvement • 10% Overcoming Adversity • 10% Overall Application *PLEASE NOTE: SCHOLARSHIP RECIPIENT MUST ATTEND AWARD PRESENTATION IN MAY 2026, IN WELLINGTON. APPLICATION SUBMIISSION DATES Application submission is open from January 01, 2026 - April 24, 2026* deadline DEADLINE *Application must be mailed and post-marked and received by April 24, 2026. Learn More About How Your Donation Can Help!",One-Time Educational Scholarships,https://wellingtoncommunityfoundation.org,Wellington Community Foundation Inc,Palm Beach,palm-beach--wellington-community-foundation-inc.txt
award,0.95,Cornwall College Alumni Association Scholarship,Cornwall College Alumni Association Inc,1000,1000,,August 1,July 1,,,,,,,,3,open,school,120,True,,,,,True,,True,,[],[],[],[],[],[],[],[],[],[],"[""current students of Cornwall College""]","[""Cornwall College""]","Apply For Scholarship Online Application Form Complete application form at the link below. Click to Apply School Transcript Email electronic copies of the school transcripts for the current and previous school term to scholarships@ccalumni-florida.com Upload Applicant Photo Email a front-facing photograph with the head centered and shoulders visible to scholarships@ccalumni-florida.com Financial Need Affidavit Email a letter from parent(s) explaining financial need with applicable proof to scholarships@ccalumni-florida.com School &amp; Community Recommendations Email three recommendations from a community leader, school and peer.a) Community recommendations should be from Community Leader Pastor Justice of the Peace or outstanding member of the community b) School recommendations should be from Teacher Guidance Counselor The principal or other members of the school administration/staff c) Peer recommendation. Recommendations cannot be from any family members. All emails should be sent to scholarships@ccalumni-florida.com. Important Dates July 1: Advertise the availability of scholarships August 1: Deadline for applications August 15: Complete the selection and notify recipients September: Award ceremony (1st week of school) Terms and Conditions There shall be two (2) types of scholarships, renewable and non-renewable. Renewable: There shall be two (2) scholarships per class starting at 8th grade through 13th grade for a total of 12 awardees. Each scholarship will renew yearly for the maximum number of years enrolled at the institution and satisfy the criteria of the program. If a scholarship awardee is withdrawn from the program, then another awardee will be selected at the same grade. Non-renewable: There shall be one-time scholarships. Each candidate will need to apply for successive years. Individual award amount: Maximum $1,000 USD. Eligible recipients must be current students of Cornwall College. All expenses covered by the scholarship must be academic-related. Qualified expenses are tuition and fees required for enrollment, or fees, books, uniform, supplies and equipment required for courses at Cornwall College. Other allowed expense items are the cost of",For Scholarship,https://www.ccalumni-florida.com/scholarships/,Cornwall College Alumni Association Inc - Scholarships,Broward,broward--cornwall-college-alumni-association-inc-scholarships.txt
